data,abev3_sa_close,petr3_sa_close,vale3_sa_close
2018-12-14,16.059999,26.33,50.880001
2018-12-17,16.1,26.049999,51.25
2018-12-18,15.88,25.17,51.439999
2018-12-19,15.4,24.76,50.009998
2018-12-20,15.21,24.16,49.810001
2018-12-21,15.17,24.18,50.860001
2018-12-26,15.14,24.58,50.439999
2018-12-27,15.1,24.440001,49.5
2018-12-28,15.38,25.4,51
2019-01-02,16.15,26.65,51.09
2019-01-03,16.33,27.200001,49
2019-01-04,16.549999,27.51,52.189999
2019-01-07,16.48,28.4,51.91
2019-01-08,16.15,28.25,52.41
2019-01-09,16.379999,28.82,53.689999
2019-01-10,16.85,28.68,53.099998
2019-01-11,17.290001,28.5,52.380001
2019-01-14,17.540001,28.4,52.599998
2019-01-15,17.700001,28.309999,52.349998
2019-01-16,17.799999,28.540001,52.650002
2019-01-17,17.85,28.780001,54.23
2019-01-18,18,29.15,54.759998
2019-01-21,18,29.290001,55.279999
2019-01-22,17.540001,28.85,55.080002
2019-01-23,17.18,29.15,55.650002
2019-01-24,17.16,29.459999,56.150002
2019-01-28,17.950001,28.42,42.360001
2019-01-29,17.870001,29.040001,42.740002
2019-01-30,17.969999,29.440001,46.599998
2019-01-31,17.51,29.549999,45.5
2019-02-01,18.110001,30.02,46.25
2019-02-04,18.450001,30.360001,44.68
2019-02-05,18.639999,30.549999,44.52
2019-02-06,18.09,30.01,42.459999
2019-02-07,18.75,29.48,41.59
2019-02-08,18.219999,29.27,43.16
2019-02-11,18.709999,28.9,42.02
2019-02-12,18.67,29.940001,44.299999
2019-02-13,18.389999,30.65,45.490002
2019-02-14,18.59,31.290001,45.66
2019-02-15,18.49,31.049999,45.880001
2019-02-18,18.190001,30.690001,45.25
2019-02-19,18.32,31.26,45.490002
2019-02-20,18.15,31.26,45.799999
2019-02-21,18.32,31.43,45.380001
2019-02-22,18.32,31.25,46.990002
2019-02-25,18.389999,30.5,47.119999
2019-02-26,18.49,30.51,47.200001
2019-02-27,18.360001,30.67,46.830002
2019-02-28,17.23,29.860001,47.099998
2019-03-01,16.76,29.200001,46.740002
2019-03-06,NA,NA,NA
2019-03-07,16.690001,29.219999,48.860001
2019-03-08,16.59,29,48.849998
2019-03-11,17.110001,30.639999,49.880001
2019-03-12,17,30.129999,49.970001
2019-03-13,16.9,30.940001,50.700001
2019-03-14,16.66,31.290001,50.709999
2019-03-15,16.76,31.620001,50.549999
2019-03-18,17.309999,32.259998,50.459999
2019-03-19,17.190001,32.77,51.900002
2019-03-20,17,32.970001,50.560001
2019-03-21,16.98,32.310001,50.889999
2019-03-22,16.719999,30.77,50.049999
2019-03-25,16.52,30.65,49.549999
2019-03-26,16.99,31.93,50.279999
2019-03-27,16.540001,30.450001,49.599998
2019-03-28,16.75,30.959999,49.299999
2019-03-29,16.83,31.15,50.93
2019-04-01,16.82,30.870001,52.599998
2019-04-02,16.77,31,51.630001
2019-04-03,16.84,30.35,51.779999
2019-04-04,17.299999,31.26,52.240002
2019-04-05,17.440001,32.049999,51.98
2019-04-08,17.35,32.740002,53.389999
2019-04-09,17.690001,32.450001,52.349998
2019-04-10,17.549999,32.27,51.759998
2019-04-11,17.25,31.85,51.790001
2019-04-12,17.059999,29.129999,51.48
2019-04-15,17.42,29.110001,51.330002
2019-04-16,17.530001,30.15,53.099998
2019-04-17,17.049999,30.18,52.25
2019-04-18,17.08,30.76,52.580002
2019-04-22,17.5,30.870001,51.299999
2019-04-23,17.67,31.120001,51.919998
2019-04-24,17.719999,30.58,50.360001
2019-04-25,18.309999,30.66,50.330002
2019-04-26,18.290001,30.389999,50.419998
2019-04-29,18.35,30.25,50.25
2019-04-30,18.469999,29.959999,50.099998
2019-05-02,17.950001,29.51,48.939999
2019-05-03,17.92,29.559999,50.400002
2019-05-06,18.059999,29.540001,49.66
2019-05-07,17.65,29.219999,49.700001
2019-05-08,17.92,30.219999,49
2019-05-09,17.49,29.360001,48.540001
2019-05-10,17.299999,29.35,49.459999
2019-05-13,17.01,28.51,47.43
2019-05-14,16.940001,28.52,47.59
2019-05-15,16.610001,28.32,47.950001
2019-05-16,16.639999,27.780001,46.400002
2019-05-17,16.49,27.559999,47.720001
2019-05-20,16.59,28.07,46.75
2019-05-21,17.09,28.799999,47.459999
2019-05-22,17.209999,28.719999,47.540001
2019-05-23,17.209999,28.27,47.82
2019-05-24,17.059999,28.33,48.400002
2019-05-27,17.219999,28.74,50.189999
2019-05-28,17.200001,29.129999,50.110001
2019-05-29,17.26,28.9,49.700001
2019-05-30,17.43,28.85,50.009998
2019-05-31,17.549999,28.23,49
2019-06-03,17.4,28.85,48.830002
2019-06-04,17.35,29.02,49.110001
2019-06-05,17.41,28.610001,48.389999
2019-06-06,17.639999,29.059999,48.799999
2019-06-07,17.610001,29.85,48.66
2019-06-10,17.65,29.35,48.34
2019-06-11,17.719999,29.950001,51.43
2019-06-12,17.68,29.51,51.490002
2019-06-13,17.85,29.91,51.849998
2019-06-14,17.639999,30.190001,51.400002
2019-06-17,17.799999,30.15,50.200001
2019-06-18,18.049999,30.610001,52
2019-06-19,18.200001,30.84,52.299999
2019-06-21,18.450001,31.790001,52.439999
2019-06-24,18.299999,31.66,52.400002
2019-06-25,18.17,30.700001,51.380001
2019-06-26,18.1,30.549999,51.580002
2019-06-27,18.049999,29.889999,51.700001
2019-06-28,17.889999,30.02,51.82
2019-07-01,17.809999,29.92,53.650002
2019-07-02,18.129999,29.469999,51.389999
2019-07-03,18.84,29.77,51.290001
2019-07-04,19,30.16,51.669998
2019-07-05,19,30.030001,50.360001
2019-07-08,18.940001,30.610001,50.950001
2019-07-10,19.02,30.719999,52.130001
2019-07-11,18.690001,31.299999,52.049999
2019-07-12,18.200001,31.5,51.810001
2019-07-15,18.25,30.969999,52.689999
2019-07-16,18.1,30.6,53.049999
2019-07-17,17.99,30.4,52.689999
2019-07-18,18.25,30.07,52.59
2019-07-19,18.09,30.059999,52.720001
2019-07-22,17.99,30.1,52.450001
2019-07-23,18.030001,30.25,51.759998
2019-07-24,17.959999,30,50.650002
2019-07-25,19.49,29.459999,50.490002
2019-07-26,19.799999,28.540001,50.23
2019-07-29,20.5,28.889999,50.259998
2019-07-30,20.34,28.700001,50.009998
2019-07-31,20.129999,28.790001,49.810001
2019-08-01,20.42,28.35,48.400002
2019-08-02,20.49,29.209999,47.84
2019-08-05,20.16,28,46
